subject,cognitive_affective_mindfulness,engagement_in_self_reflection,need_for_self_reflection,insight,decision_scale,need_for_cognition,cognitive_reflection_test,digit_span,subject_prolific,version,gender,age,education,income,race,phq91,phq92,gad71,gad72,audit,spq,ocir,tas,icar_responses,icar_correct,icar_num_correct,feedback,total_time,timestamp,id,mistakeCounter
A30HUZHJBOX1LK,,,,,,,,,,v1,Male,50-59 years old,Master's Degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,2,
ASCS0QEE54PUI,,,,,,,,,,v1,Female,20-29 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,3,
A3K9GTQBOI7O5A,,,,,,,,,,v1,Female,20-29 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,4,
A27VK38SRSSHV3,,,,,,,,,,v1,Female,30-39 years old,Master's Degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,5,
A12FTSX85NQ8N9,,,,,,,,,,v1,Male,20-29 years old,Bachelor's degree,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,6,
A24GX1OZE6AY04,,,,,,,,,,v1,Male,40-49 years old,High school/GED,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,7,
A3V2XCDF45VN9X,,,,,,,,,,v1,Male,40-49 years old,PhD,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,8,
A2A1FS0KVLJ9ZT,,,,,,,,,,v1,Other,30-39 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,9,
A35S5YV2XL971J,,,,,,,,,,v1,Male,20-29 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,10,
AUFOO8PU2BK37,,,,,,,,,,v1,Female,30-39 years old,Bachelor's degree,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,11,
AVFMTS8A5R4XK,,,,,,,,,,v1,Male,30-39 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,12,
ANQ0RLFEZ17W0,,,,,,,,,,v1,Female,30-39 years old,Bachelor's degree,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,13,
