subject,subject_prolific,version,factor,task_name,condition,stimulus,choice,auxiliary_info1,openq_response,introspect_rating,introspect_open,familiarity,rt,timestamp,id
6504cf65271c90f40dabc999,,v5_pilot1,,attention check 2,,,The moon is made of green cheese,Success,,,,,32833,2024-06-21 13:16:03,71881
6504cf65271c90f40dabc999,,v5_pilot1,,attention check 3,,,"3,5,1,4,2",Correct,,,,,40877,2024-06-21 13:16:44,71882
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,Sleep,awake,Original,Original,,,,,3335,2024-06-21 13:17:41,71883
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,NonSleep,walk,New,New,,,,,1158,2024-06-21 13:17:43,71884
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,Sleep,snore,Original,Original,,,,,1073,2024-06-21 13:17:44,71885
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,NonSleep,bitter,New,New,,,,,905,2024-06-21 13:17:46,71886
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,Sleep,bed,Original,Original,,,,,983,2024-06-21 13:17:47,71887
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,Sleep,slumber,Original,Original,,,,,905,2024-06-21 13:17:48,71888
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,Sleep,nap,Original,Original,,,,,1113,2024-06-21 13:17:50,71889
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,Sleep,rest,Original,Original,,,,,917,2024-06-21 13:17:51,71890
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,NonSleep,heart,New,New,,,,,849,2024-06-21 13:17:53,71891
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,Sleep,dream,Original,Original,,,,,1181,2024-06-21 13:17:55,71892
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,NonSleep,suit,New,New,,,,,848,2024-06-21 13:17:56,71893
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,NonSleep,kneel,New,New,,,,,823,2024-06-21 13:17:57,71894
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,NonSleep,shade,New,New,,,,,740,2024-06-21 13:17:58,71895
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,NonSleep,nurse,New,New,,,,,3048,2024-06-21 13:18:02,71896
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,associative memory,,,,,"At first I tried to memorize the words, but when I realized there were too many for me to remember I realized the overall ""sleep"" theme. This helped me sort the words during the task.",17,42,No,11476,2024-06-21 13:19:55,71897
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,anchoring,No Anchor,Antarctic Temperature,30,,,,,,53457,2024-06-21 13:20:56,71898
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,anchoring,No Anchor,Whale Length,33.58,,,,,,53457,2024-06-21 13:20:56,71899
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,anchoring,No Anchor,,,,I had no idea what the answer would be so I looked it up online.,100,0,No,15359,2024-06-21 13:22:57,71900
65011da64f1176431cead27c,,v5_pilot1,,attention check 2,,,The moon is made of green cheese,Success,,,,,30110,2024-06-21 13:25:03,71901
65011da64f1176431cead27c,,v5_pilot1,,attention check 3,,,"3,5,1,4,2",Correct,,,,,46165,2024-06-21 13:25:49,71902
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,reference price,motel,,15,,"I tried to picture myself in this scenario and tried to put the highest amount I can picture myself parting with to receive my requested drink. The price would be higher if no other drinks were available like water, but I see this as a want not a need.",30,48,No,13784,2024-06-21 13:26:22,71903
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,reference price,hotel,,7,,I said 7 because assuming the hotel and bar is expensive I'd have to pay more so if I was really thirsty and hot and wanted a drink I'd pay at max 7 dollars for a drink,19,89,No,7077,2024-06-21 13:27:37,71904
62d06d1b651d6922f62fab9b,,v5_pilot1,,attention check 2,,,The moon is made of green cheese,Success,,,,,129182,2024-06-21 13:28:36,71905
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,status_quo,Factor-Included,,50/50,,They are equally important for safety and should be treated the same,73,61,No,3440,2024-06-21 13:28:39,71906
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Pakistan?,2 millon,Pakistan_estimate_first_response = 2 millon,,,,,7709,2024-06-21 13:28:52,71907
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Greece?,2 millon,Greece_estimate_first_response = 2 millon,,,,,5786,2024-06-21 13:28:58,71908
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,rep,Factor-Excluded,,30,,Since the sample total was 100 I used each individual as a percentage point and answered at 30%.,50,0,No,4640,2024-06-21 13:29:05,71909
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Ukraine?,1 millon,Ukraine_estimate_first_response = 1 millon,,,,,6825,2024-06-21 13:29:05,71910
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in The Democratic Republic of the Congo?,"500,000","The_Democratic_Republic_of_the_Congo_estimate_first_response = 500,000",,,,,10099,2024-06-21 13:29:15,71911
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in South Korea?,3 millon,South_Korea_estimate_first_response = 3 millon,,,,,7071,2024-06-21 13:29:22,71912
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Tanzania?,"500,000","Tanzania_estimate_first_response = 500,000",,,,,7233,2024-06-21 13:29:29,71913
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in The Czech Republic?,"500,000","The_Czech_Republic_estimate_first_response = 500,000",,,,,7015,2024-06-21 13:29:36,71914
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in North Korea?,1 millon,North_Korea_estimate_first_response = 1 millon,,,,,8290,2024-06-21 13:29:45,71915
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Burkina Faso?,"200,000","Burkina_Faso_estimate_first_response = 200,000",,,,,5619,2024-06-21 13:29:50,71916
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Uganda?,"500,000","Uganda_estimate_first_response = 500,000",,,,,5878,2024-06-21 13:29:56,71917
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Niger?,"500,000","Niger_estimate_first_response = 500,000",,,,,5160,2024-06-21 13:30:01,71918
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Vietnam?,1 millon,Vietnam_estimate_first_response = 1 millon,,,,,4846,2024-06-21 13:30:06,71919
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Guinea?,1 millon,Guinea_estimate_first_response = 1 millon,,,,,5322,2024-06-21 13:30:11,71920
62d06d1b651d6922f62fab9b,,v5_pilot1,,attention check 3,,,"3,5,1,4,2",Correct,,,,,95835,2024-06-21 13:30:12,71921
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Romania?,3 millon,Romania_estimate_first_response = 3 millon,,,,,6482,2024-06-21 13:30:18,71922
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Azerbaijan?,"200,000","Azerbaijan_estimate_first_response = 200,000",,,,,6073,2024-06-21 13:30:24,71923
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in The Netherlands?,5 million,The_Netherlands_estimate_first_response = 5 million,,,,,5401,2024-06-21 13:30:29,71924
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Colombia?,5 million,Colombia_estimate_first_response = 5 million,,,,,4698,2024-06-21 13:30:34,71925
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Thailand?,5 million,Thailand_estimate_first_response = 5 million,,,,,5214,2024-06-21 13:30:39,71926
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Zimbabwe?,1 million,Zimbabwe_estimate_first_response = 1 million,,,,,5330,2024-06-21 13:30:45,71927
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Malaysia?,1 million,Malaysia_estimate_first_response = 1 million,,,,,4842,2024-06-21 13:30:50,71928
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Benin?,"500,000","Benin_estimate_first_response = 500,000",,,,,4975,2024-06-21 13:30:55,71929
5e0faccc24f9396bc33814c8,,v5_pilot1,,attention check 2,,,The moon is made of green cheese,Success,,,,,30120,2024-06-21 13:30:56,71930
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Haiti?,1 million,Haiti_estimate_first_response = 1 million,,,,,5058,2024-06-21 13:31:00,71931
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Somalia?,2 million,Somalia_estimate_first_response = 2 million,,,,,4535,2024-06-21 13:31:04,71932
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Mexico?,2 million,Mexico_estimate_first_response = 2 million,,,,,4546,2024-06-21 13:31:09,71933
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Nigeria?,1 million,Nigeria_estimate_first_response = 1 million,,,,,4525,2024-06-21 13:31:13,71934
5e0faccc24f9396bc33814c8,,v5_pilot1,,attention check 3,,,"3,5,1,4,2",Correct,,,,,44769,2024-06-21 13:31:41,71935
62d06d1b651d6922f62fab9b,,v5_pilot1,Factor-Included,anchoring,Low Anchor,Antarctic Temperature,-20,Higher,,,,,73367,2024-06-21 13:31:46,71936
62d06d1b651d6922f62fab9b,,v5_pilot1,Factor-Included,anchoring,Low Anchor,Whale Length,91,Longer,,,,,73367,2024-06-21 13:31:46,71937
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,decoy effect,Decoy Absent,,Brand N (Target),,"I tried to think about the value I would put on the increase in taste and flavor. I treated the cost of product A as the baseline and since product B was 80 cents more and only 20 flavor points higher, and product A was still at 50 flavor points, I decided to save the money.",100,10,No,4276,2024-06-21 13:32:08,71938
5e0faccc24f9396bc33814c8,,v5_pilot1,Factor-Excluded,causal inference,Nine,,31,,It was 50/50,14,42,No,4738,2024-06-21 13:33:12,71939
631a5e886ab21d522f83e58e,,v5_pilot1,,attention check 2,,,cheese green of made is moon The,Failure,,,,,28947,2024-06-21 13:33:32,71940
631a5e886ab21d522f83e58e,,v5_pilot1,,attention check 3,,,"3,5,1,4,2",Correct,,,,,27331,2024-06-21 13:33:59,71941
5e0faccc24f9396bc33814c8,,v5_pilot1,Factor-Excluded,belief,,Practice 1,Yes,Incorrect,,,,,14507,2024-06-21 13:34:12,71942
5e0faccc24f9396bc33814c8,,v5_pilot1,Factor-Excluded,belief,,Practice 2,Yes,Correct,,,,,7799,2024-06-21 13:34:21,71943
5e0faccc24f9396bc33814c8,,v5_pilot1,Factor-Excluded,belief,Unbelievable,"Therefore, some millionaires are not rich people.",No,Invalid,,,,,11997,2024-06-21 13:34:36,71944
5e0faccc24f9396bc33814c8,,v5_pilot1,Factor-Excluded,belief,Unbelievable,"Therefore, some rottweilers are not dogs.",Yes,Valid,,,,,4251,2024-06-21 13:34:41,71945
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,mere exposure,13,bacak,77,,,,,,,2024-06-21 13:34:46,71946
5e0faccc24f9396bc33814c8,,v5_pilot1,Factor-Excluded,belief,Unbelievable,"Therefore, some vitamin tablets are not nutritional.",Yes,Valid,,,,,5875,2024-06-21 13:34:47,71947
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Pakistan?,3 million,Pakistan_recall_original_response = 3 million,,,,,36767,2024-06-21 13:34:49,71948
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Greece?,2 million,Greece_recall_original_response = 2 million,,,,,5315,2024-06-21 13:34:54,71949
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,mere exposure,13,hafta,67,,,,,,,2024-06-21 13:34:55,71950
5e0faccc24f9396bc33814c8,,v5_pilot1,Factor-Excluded,belief,Unbelievable,"Therefore, some cigarettes are not addictive things.",Yes,Invalid,,,,,9952,2024-06-21 13:34:58,71951
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Ukraine?,1 million,Ukraine_recall_original_response = 1 million,,,,,4295,2024-06-21 13:34:59,71952
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,mere exposure,13,sokak,56,,,,,,,2024-06-21 13:35:01,71953
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,mere exposure,13,mimar,34,,,,,,,2024-06-21 13:35:04,71954
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,mere exposure,13,dudak,83,,,,,,,2024-06-21 13:35:08,71955
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,mere exposure,13,tatil,62,,,,,,,2024-06-21 13:35:12,71956
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,mere exposure,13,kitap,55,,,,,,,2024-06-21 13:35:17,71957
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in The Democratic Republic of the Congo?,1 million,The_Democratic_Republic_of_the_Congo_recall_original_response = 1 million,,,,,18262,2024-06-21 13:35:17,71958
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in South Korea?,5 million,South_Korea_recall_original_response = 5 million,,,,,6957,2024-06-21 13:35:24,71959
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,mere exposure,13,kulak,73,,,,,,,2024-06-21 13:35:24,71960
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Tanzania?,"500,000","Tanzania_recall_original_response = 500,000",,,,,7014,2024-06-21 13:35:31,71961
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in The Czech Republic?,"500,00","The_Czech_Republic_recall_original_response = 500,00",,,,,4905,2024-06-21 13:35:36,71962
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in North Korea?,1 million,North_Korea_recall_original_response = 1 million,,,,,5310,2024-06-21 13:35:41,71963
5e0faccc24f9396bc33814c8,,v5_pilot1,Factor-Excluded,belief,Factor-Excluded,,,,Connecting the two statements to see if they'd have a logical outcome,45,35,No,2114,2024-06-21 13:35:43,71964
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Burkina Faso?,1 million,Burkina_Faso_recall_original_response = 1 million,,,,,4699,2024-06-21 13:35:46,71965
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Uganda?,1 million,Uganda_recall_original_response = 1 million,,,,,5438,2024-06-21 13:35:51,71966
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Niger?,"500,000","Niger_recall_original_response = 500,000",,,,,4633,2024-06-21 13:35:56,71967
631a5e886ab21d522f83e58e,,v5_pilot1,Factor-Included,causal inference,One,,90,,"He only had a 10% chance to pick correctly from Green, but 50% from Blue.",100,50,No,6463,2024-06-21 13:35:57,71968
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Vietnam?,2 million,Vietnam_recall_original_response = 2 million,,,,,4693,2024-06-21 13:36:01,71969
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Guinea?,1 million,Guinea_recall_original_response = 1 million,,,,,4606,2024-06-21 13:36:05,71970
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Romania?,1 million,Romania_recall_original_response = 1 million,,,,,4330,2024-06-21 13:36:10,71971
62d06d1b651d6922f62fab9b,,v5_pilot1,Factor-Included,anchoring,Low Anchor,,,,I just made educated guesses based off of the information that I have seen before that is related to the topics and pictured each scenario and items in my head.,18,36,No,6007,2024-06-21 13:36:11,71972
5e0faccc24f9396bc33814c8,,v5_pilot1,Factor-Excluded,anchoring,No Anchor,Antarctic Temperature,0,,,,,,24597,2024-06-21 13:36:11,71973
5e0faccc24f9396bc33814c8,,v5_pilot1,Factor-Excluded,anchoring,No Anchor,Whale Length,100,,,,,,24597,2024-06-21 13:36:11,71974
