subject,subject_prolific,version,factor,task_name,condition,stimulus,choice,auxiliary_info1,openq_response,introspect_rating,introspect_open,familiarity,rt,timestamp,id
"",,v5_pilot1,,attention check 2,,,test,Failure,,,,,2632,2024-06-20 20:17:34,71581
"",,v5_pilot1,,attention check 3,,,",,,,",Incorrect,,,,,1796,2024-06-20 20:17:36,71582
"",,v5_pilot1,Factor-Excluded,belief,,Practice 1,No,Correct,,,,,2591,2024-06-20 20:17:43,71583
"",,v5_pilot1,Factor-Excluded,belief,,Practice 2,No,Incorrect,,,,,607,2024-06-20 20:17:45,71584
"",,v5_pilot1,Factor-Excluded,belief,Unbelievable,"Therefore, some rottweilers are not dogs.",No,Valid,,,,,1112,2024-06-20 20:17:47,71585
"",,v5_pilot1,,attention check 2,,,e,Failure,,,,,1890,2024-06-20 20:23:36,71586
"",,v5_pilot1,,attention check 3,,,"e,j,j,j,j",Incorrect,,,,,4531,2024-06-20 20:23:40,71587
"",,v5_pilot1,Factor-Included,hindsight,Factor-Included,,Array,,r,50,50,No,1065,2024-06-20 20:27:11,71588
"",,v5_pilot1,,attention check 2,,,j,Failure,,,,,2144,2024-06-20 20:33:42,71589
"",,v5_pilot1,,attention check 3,,,"j,j,j,j,j",Incorrect,,,,,3530,2024-06-20 20:33:46,71590
"",,v5_pilot1,Factor-Excluded,decoy effect,Decoy Absent,,Brand N (Target),,d,50,50,No,811,2024-06-20 20:34:01,71591
"",,v5_pilot1,,attention check 2,,,d,Failure,,,,,2449,2024-06-20 20:34:27,71592
"",,v5_pilot1,,attention check 3,,,"dh,h,h,h,h",Incorrect,,,,,3038,2024-06-20 20:34:29,71593
"",,v5_pilot1,Factor-Included,reference price,hotel,,j,,d,50,50,No,799,2024-06-20 20:34:43,71594
"",,v5_pilot1,Factor-Included,double effect,Means,,1,,f,50,50,No,652,2024-06-20 20:35:33,71595
"",,v5_pilot1,,attention check 2,,,j,Failure,,,,,2188,2024-06-20 20:39:54,71596
"",,v5_pilot1,,attention check 2,,,f,Failure,,,,,2629,2024-06-20 20:41:14,71597
"",,v5_pilot1,,attention check 3,,,"fj,j,j,j,jj",Incorrect,,,,,2798,2024-06-20 20:41:15,71598
"",,v5_pilot1,Factor-Included,mere exposure,1,kitap,50,,,,,,,2024-06-20 20:46:45,71599
"",,v5_pilot1,Factor-Included,mere exposure,25,mimar,50,,,,,,,2024-06-20 20:46:45,71600
"",,v5_pilot1,Factor-Included,mere exposure,25,sokak,50,,,,,,,2024-06-20 20:46:45,71601
"",,v5_pilot1,Factor-Included,mere exposure,1,kulak,50,,,,,,,2024-06-20 20:46:46,71602
"",,v5_pilot1,Factor-Included,mere exposure,1,bacak,50,,,,,,,2024-06-20 20:46:46,71603
"",,v5_pilot1,Factor-Included,mere exposure,25,tatil,50,,,,,,,2024-06-20 20:46:46,71604
"",,v5_pilot1,Factor-Included,mere exposure,25,dudak,50,,,,,,,2024-06-20 20:46:47,71605
"",,v5_pilot1,Factor-Included,mere exposure,1,hafta,50,,,,,,,2024-06-20 20:46:48,71606
"",,v5_pilot1,Factor-Included,mere exposure,Factor-Included,,,,f,50,50,No,1335,2024-06-20 20:46:58,71607
"",,v5_pilot1,Factor-Included,double effect,Means,,1,,f,50,50,No,1083,2024-06-20 20:47:33,71608
"",,v5_pilot1,Factor-Included,status_quo,Factor-Included,,50/50,,f,50,50,No,826,2024-06-20 20:49:13,71609
"",,v5_pilot1,Factor-Included,associative memory,Sleep,sheet,New,New,,,,,1362,2024-06-20 20:50:40,71610
"",,v5_pilot1,Factor-Included,associative memory,NonSleep,heart,New,New,,,,,431,2024-06-20 20:50:41,71611
"",,v5_pilot1,Factor-Included,associative memory,NonSleep,nurse,New,New,,,,,384,2024-06-20 20:50:42,71612
"",,v5_pilot1,Factor-Included,associative memory,Sleep,snore,New,Original,,,,,362,2024-06-20 20:50:43,71613
"",,v5_pilot1,Factor-Included,associative memory,NonSleep,shade,New,New,,,,,379,2024-06-20 20:50:44,71614
"",,v5_pilot1,Factor-Included,associative memory,Sleep,pillow,New,New,,,,,353,2024-06-20 20:50:44,71615
"",,v5_pilot1,Factor-Included,associative memory,NonSleep,bitter,New,New,,,,,349,2024-06-20 20:50:45,71616
"",,v5_pilot1,Factor-Included,associative memory,Sleep,bed,New,Original,,,,,333,2024-06-20 20:50:46,71617
"",,v5_pilot1,Factor-Included,associative memory,Sleep,rest,New,Original,,,,,348,2024-06-20 20:50:47,71618
"",,v5_pilot1,Factor-Included,associative memory,Sleep,slumber,New,Original,,,,,293,2024-06-20 20:50:48,71619
"",,v5_pilot1,Factor-Included,associative memory,Sleep,dream,New,Original,,,,,358,2024-06-20 20:50:49,71620
"",,v5_pilot1,Factor-Included,associative memory,Sleep,nap,New,Original,,,,,231,2024-06-20 20:50:49,71621
"",,v5_pilot1,Factor-Included,associative memory,Sleep,sleep,New,New,,,,,115,2024-06-20 20:50:50,71622
"",,v5_pilot1,Factor-Included,associative memory,Sleep,awake,New,Original,,,,,164,2024-06-20 20:50:51,71623
"",,v5_pilot1,Factor-Included,associative memory,,,,,x,50,50,No,745,2024-06-20 20:50:56,71624
"",,v5_pilot1,Factor-Included,contact principle,Contact,,Impermissible,,f,50,50,No,1022,2024-06-20 20:51:31,71625
"",,v5_pilot1,Factor-Included,belief,,Practice 1,No,Correct,,,,,800,2024-06-20 20:51:57,71626
"",,v5_pilot1,Factor-Included,belief,,Practice 2,No,Incorrect,,,,,905,2024-06-20 20:51:59,71627
"",,v5_pilot1,Factor-Included,belief,Believable,"Therefore, some highly trained dogs are not police dogs.",No,Valid,,,,,727,2024-06-20 20:52:02,71628
"",,v5_pilot1,Factor-Included,belief,Believable,"Therefore, some addictive things are not cigarettes.",No,Invalid,,,,,931,2024-06-20 20:52:04,71629
"",,v5_pilot1,Factor-Included,belief,Unbelievable,"Therefore, some millionaires are not rich people.",No,Invalid,,,,,413,2024-06-20 20:52:04,71630
"",,v5_pilot1,Factor-Included,belief,Unbelievable,"Therefore, some vitamin tablets are not nutritional.",No,Valid,,,,,368,2024-06-20 20:52:05,71631
"",,v5_pilot1,Factor-Included,belief,Factor-Included,,,,r,50,50,No,651,2024-06-20 20:52:12,71632
"",,v5_pilot1,Factor-Included,availability,Famous,,List 1,,d,50,50,Yes,1045,2024-06-20 20:52:47,71633
"",,v5_pilot1,,attention check 2,,,3,Failure,,,,,5197,2024-06-21 06:19:10,71634
"",,v5_pilot1,,attention check 3,,,"j,j,j,j,j",Incorrect,,,,,3782,2024-06-21 06:19:14,71635
"",,v5_pilot1,Factor-Included,causal inference,One,,50,,r,50,50,No,1406,2024-06-21 06:20:13,71636
"",,v5_pilot1,Factor-Included,contact principle,Contact,,Impermissible,,r,50,50,No,1074,2024-06-21 06:20:29,71637
"",,v5_pilot1,Factor-Excluded,hindsight bias,,How many people live in Nigeria?,Nigeria_estimate_first_response = [object Object],,,,,,2671,2024-06-21 09:04:04,71638
"",,v5_pilot1,Factor-Excluded,hindsight bias,,How many people live in Pakistan?,Pakistan_estimate_first_response = [object Object],,,,,,959,2024-06-21 09:04:04,71639
"",,v5_pilot1,Factor-Excluded,hindsight bias,,How many people live in Pakistan?,Nigeria_recall_original_response = [object Object],,,,,,3269,2024-06-21 09:04:23,71640
"",,v5_pilot1,Factor-Excluded,hindsight bias,,How many people live in Pakistan?,Pakistan_recall_original_response = [object Object],,,,,,616,2024-06-21 09:04:23,71641
"",,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Nigeria?,Nigeria_estimate_first_response = r,,,,,,872,2024-06-21 09:06:53,71642
"",,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Pakistan?,Pakistan_estimate_first_response = r,,,,,,1109,2024-06-21 09:06:54,71643
"",,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Pakistan?,d,Pakistan_estimate_first_response = d,,,,,1457,2024-06-21 09:10:38,71644
"",,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Nigeria?,d,Nigeria_estimate_first_response = d,,,,,1306,2024-06-21 09:10:39,71645
"",,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Nigeria?,a,Pakistan_recall_original_response = a,,,,,42680,2024-06-21 09:11:42,71646
"",,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Nigeria?,a,Nigeria_recall_original_response = a,,,,,545,2024-06-21 09:11:42,71647
"",,v5_pilot1,Factor-Excluded,hindsight bias,,How many people live in Nigeria?,r,Nigeria_estimate_first_response = r,,,,,1184,2024-06-21 09:12:48,71648
"",,v5_pilot1,Factor-Excluded,hindsight bias,,How many people live in Pakistan?,r,Pakistan_estimate_first_response = r,,,,,526,2024-06-21 09:12:48,71649
"",,v5_pilot1,Factor-Excluded,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Pakistan?,a,Nigeria_recall_original_response = a,,,,,2523,2024-06-21 09:13:06,71650
"",,v5_pilot1,Factor-Excluded,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Pakistan?,a,Pakistan_recall_original_response = a,,,,,686,2024-06-21 09:13:07,71651
"",,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Nigeria?,n,Nigeria_estimate_first_response = n,,,,,2247,2024-06-21 09:13:58,71652
"",,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Pakistan?,p,Pakistan_estimate_first_response = p,,,,,1363,2024-06-21 09:14:00,71653
"",,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Pakistan?,p,Nigeria_recall_original_response = p,,,,,2522,2024-06-21 09:14:17,71654
"",,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Pakistan?,p,Pakistan_recall_original_response = p,,,,,1232,2024-06-21 09:14:18,71655
"",,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Pakistan?,p,Pakistan_estimate_first_response = p,,,,,1981,2024-06-21 09:15:39,71656
"",,v5_pilot1,Factor-Included,hindsight bias,,How many people live in Nigeria?,n,Nigeria_estimate_first_response = n,,,,,1062,2024-06-21 09:15:40,71657
"",,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Pakistan?,p,Pakistan_recall_original_response = p,,,,,2157,2024-06-21 09:15:57,71658
"",,v5_pilot1,Factor-Included,hindsight bias,,What was your ORIGINAL ANSWER when we asked you to estimate how many people lived in Nigeria?,n,Nigeria_recall_original_response = n,,,,,943,2024-06-21 09:15:58,71659
"",,v5_pilot1,,attention check 2,,,test 1,Failure,,,,,10912,2024-06-21 09:19:24,71660
"",,v5_pilot1,,attention check 3,,,"1,1,11,1,1",Incorrect,,,,,6372,2024-06-21 09:19:30,71661
"",,v5_pilot1,Factor-Included,status_quo,Factor-Included,,50/50,,e,50,50,No,1043,2024-06-21 09:20:45,71662
"",,v5_pilot1,Factor-Included,anchoring,Low Anchor,Antarctic Temperature,2,Higher,,,,,8421,2024-06-21 09:20:45,71663
"",,v5_pilot1,Factor-Included,anchoring,Low Anchor,Whale Length,2,Longer,,,,,8421,2024-06-21 09:20:45,71664
"",,v5_pilot1,Factor-Included,anchoring,Low Anchor,,,,r,50,50,No,906,2024-06-21 09:21:09,71665
"",,v5_pilot1,Factor-Included,double effect,Means,,1,,d,50,50,No,1044,2024-06-21 09:31:19,71666
"",,v5_pilot1,Factor-Included,reference price,attractive/unattractive,,50/50,,f,50,50,No,847,2024-06-21 09:32:07,71667
"",,v5_pilot1,Factor-Included,reference price,attractive/unattractive,,Array,,f,50,50,No,909,2024-06-21 09:45:35,71668
"",,v5_pilot1,Factor-Included,halo,attractive/unattractive,"<img src=""img/U4 WF-002.jpg"" alt=""Stimulus Image"" style=""width:45%;height:auto;""><br><br><p>Please rate your impression of how persuasive the individual pictured above is on a scale from 1 to 5.</p>",3,,,,,,4420,2024-06-21 09:51:14,71669
"",,v5_pilot1,Factor-Included,halo,attractive/unattractive,"<img src=""img/U1 AM-224.jpg"" alt=""Stimulus Image"" style=""width:45%;height:auto;""><br><br><p>Please rate your impression of how persuasive the individual pictured above is on a scale from 1 to 5.</p>",3,,,,,,15613,2024-06-21 09:51:30,71670
"",,v5_pilot1,Factor-Included,halo,attractive/unattractive,"<img src=""img/A3 LF-249.jpg"" alt=""Stimulus Image"" style=""width:45%;height:auto;""><br><br><p>Please rate your impression of how persuasive the individual pictured above is on a scale from 1 to 5.</p>",4,,,,,,9322,2024-06-21 09:51:39,71671
"",,v5_pilot1,Factor-Included,halo,attractive/unattractive,"<img src=""img/A1 WF-233.jpg"" alt=""Stimulus Image"" style=""width:45%;height:auto;""><br><br><p>Please rate your impression of how persuasive the individual pictured above is on a scale from 1 to 5.</p>",4,,,,,,8581,2024-06-21 09:51:47,71672
"",,v5_pilot1,Factor-Included,halo,attractive/unattractive,"<img src=""img/A2 BF-240.jpg"" alt=""Stimulus Image"" style=""width:45%;height:auto;""><br><br><p>Please rate your impression of how persuasive the individual pictured above is on a scale from 1 to 5.</p>",4,,,,,,9727,2024-06-21 09:51:57,71673
"",,v5_pilot1,Factor-Included,halo,attractive/unattractive,"<img src=""img/A4 BF-233.jpg"" alt=""Stimulus Image"" style=""width:45%;height:auto;""><br><br><p>Please rate your impression of how persuasive the individual pictured above is on a scale from 1 to 5.</p>",0,,,,,,10104,2024-06-21 09:52:07,71674
"",,v5_pilot1,Factor-Excluded,halo,average attractiveness,"<img src=""img/M3 BM-034.jpg"" alt=""Stimulus Image"" style=""width:45%;height:auto;""><br><br><p>Please rate your impression of how persuasive the individual pictured above is on a scale from 1 to 5.</p>",5,,,,,,2767,2024-06-21 09:52:49,71675
"",,v5_pilot1,Factor-Excluded,halo,average attractiveness,"<img src=""img/M4 LF-252.jpg"" alt=""Stimulus Image"" style=""width:45%;height:auto;""><br><br><p>Please rate your impression of how persuasive the individual pictured above is on a scale from 1 to 5.</p>",1,,,,,,3372,2024-06-21 09:52:52,71676
"",,v5_pilot1,Factor-Excluded,halo,average attractiveness,"<img src=""img/M5 WM-221.jpg"" alt=""Stimulus Image"" style=""width:45%;height:auto;""><br><br><p>Please rate your impression of how persuasive the individual pictured above is on a scale from 1 to 5.</p>",4,,,,,,15090,2024-06-21 09:53:07,71677
"",,v5_pilot1,Factor-Excluded,halo,average attractiveness,"<img src=""img/M8 BM-232.jpg"" alt=""Stimulus Image"" style=""width:45%;height:auto;""><br><br><p>Please rate your impression of how persuasive the individual pictured above is on a scale from 1 to 5.</p>",2,,,,,,10884,2024-06-21 09:53:18,71678
"",,v5_pilot1,Factor-Excluded,halo,average attractiveness,"<img src=""img/U5 WF-250.jpg"" alt=""Stimulus Image"" style=""width:45%;height:auto;""><br><br><p>Please rate your impression of how persuasive the individual pictured above is on a scale from 1 to 5.</p>",3,,,,,,5855,2024-06-21 09:53:24,71679
"",,v5_pilot1,Factor-Included,halo,attractive/unattractive,"<img src=""img/U4 WF-002.jpg"" alt=""Stimulus Image"" style=""width:45%;height:auto;""><br><br><p>Please rate your impression of how persuasive the individual pictured above is on a scale from 1 to 5.</p>",3,,,,,,2114,2024-06-21 09:54:37,71680
"",,v5_pilot1,Factor-Included,halo,attractive/unattractive,"<img src=""img/A4 BF-233.jpg"" alt=""Stimulus Image"" style=""width:45%;height:auto;""><br><br><p>Please rate your impression of how persuasive the individual pictured above is on a scale from 1 to 5.</p>",5,,,,,,2879,2024-06-21 09:54:40,71681
"",,v5_pilot1,Factor-Included,halo,attractive/unattractive,"<img src=""img/U3 BF-200.jpg"" alt=""Stimulus Image"" style=""width:45%;height:auto;""><br><br><p>Please rate your impression of how persuasive the individual pictured above is on a scale from 1 to 5.</p>",5,,,,,,10164,2024-06-21 09:54:50,71682
