"subject","version","browser_event","trial","time","timepoint","stamp","id"
"0c6f2669f1a00e9f471f37a120a7aef4","v5_pilot2","blur",73,513455,NA,"2024-12-20 17:04:47",29044
"0c6f2669f1a00e9f471f37a120a7aef4","v5_pilot2","focus",73,519315,NA,"2024-12-20 17:04:53",29047
"0c6f2669f1a00e9f471f37a120a7aef4","v5_pilot2","blur",74,546884,NA,"2024-12-20 17:05:20",29062
"0c6f2669f1a00e9f471f37a120a7aef4","v5_pilot2","focus",74,552899,NA,"2024-12-20 17:05:27",29064
"0c6f2669f1a00e9f471f37a120a7aef4","v5_pilot2","blur",74,554681,NA,"2024-12-20 17:05:28",29067
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","blur",1,4176,NA,"2024-12-20 16:55:40",28461
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","focus",1,4203,NA,"2024-12-20 16:55:40",28462
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","blur",1,7496,NA,"2024-12-20 16:55:43",28466
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","blur",1,141399,NA,"2024-12-20 16:57:57",28627
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","focus",1,141396,NA,"2024-12-20 16:57:57",28628
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","focus",1,143632,NA,"2024-12-20 16:57:59",28633
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","blur",23,766213,NA,"2024-12-20 17:08:22",29162
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","focus",23,772636,NA,"2024-12-20 17:08:28",29166
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","blur",74,965201,NA,"2024-12-20 17:11:41",29278
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","blur",74,969222,NA,"2024-12-20 17:11:45",29279
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","focus",74,969221,NA,"2024-12-20 17:11:45",29280
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","focus",74,970930,NA,"2024-12-20 17:11:46",29281
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","blur",74,975707,NA,"2024-12-20 17:11:51",29284
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","focus",74,1053358,NA,"2024-12-20 17:13:09",29299
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","blur",74,1056080,NA,"2024-12-20 17:13:12",29300
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","focus",74,1057484,NA,"2024-12-20 17:13:13",29302
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","blur",1,6483,NA,"2024-12-20 17:13:20",29304
"9bbaca92a7de499c78699b6c5e476cfc","v5_pilot2","focus",1,137157,NA,"2024-12-20 17:15:31",29347
"25aa781888e8f6621dd2f3612aa90d40","pilot3b","focus",0,1,NA,"2025-04-08 17:40:28",39734
"25aa781888e8f6621dd2f3612aa90d40","pilot3b","blur",1,826,NA,"2025-04-08 17:40:28",39736
"25aa781888e8f6621dd2f3612aa90d40","pilot3b","focus",1,1736,NA,"2025-04-08 17:40:29",39737
"25aa781888e8f6621dd2f3612aa90d40","pilot3b","blur",1,9641,NA,"2025-04-08 17:40:37",39741
"25aa781888e8f6621dd2f3612aa90d40","pilot3b","focus",1,33616,NA,"2025-04-08 17:41:01",39749
"25aa781888e8f6621dd2f3612aa90d40","pilot3b","blur",3,51963,NA,"2025-04-08 17:41:20",39757
"25aa781888e8f6621dd2f3612aa90d40","pilot3b","focus",3,62432,NA,"2025-04-08 17:41:30",39758
"25aa781888e8f6621dd2f3612aa90d40","pilot3b","blur",25,103609,NA,"2025-04-08 17:42:11",39770
"25aa781888e8f6621dd2f3612aa90d40","pilot3b","focus",29,107837,NA,"2025-04-08 17:42:15",39771
"25aa781888e8f6621dd2f3612aa90d40","pilot3b","blur",53,167100,NA,"2025-04-08 17:43:15",39795
"25aa781888e8f6621dd2f3612aa90d40","pilot3b","focus",53,168139,NA,"2025-04-08 17:43:16",39796
"25aa781888e8f6621dd2f3612aa90d40","pilot3b","blur",53,169039,NA,"2025-04-08 17:43:17",39797
"78c1395b7720035b691a09cef9e4d9b9","pilot3b","blur",52,136380,NA,"2025-04-08 17:46:36",39891
"461e8162cda1b8708f743138818b372a","pilot3b","blur",53,142299,NA,"2025-04-08 17:41:02",39750
"461e8162cda1b8708f743138818b372a","pilot3b","focus",53,148620,NA,"2025-04-08 17:41:09",39753
"461e8162cda1b8708f743138818b372a","pilot3b","blur",53,149265,NA,"2025-04-08 17:41:09",39754
"461e8162cda1b8708f743138818b372a","pilot3b","focus",53,156442,NA,"2025-04-08 17:41:16",39756
"b08002b5b13dd55073a078886a1bbab7","pilot3b","blur",52,120090,NA,"2025-04-08 18:18:01",40252
"d5aa078b55bb093805732b72ff8446bf","v5_pilot2","focus",0,0,NA,"2024-12-20 16:29:52",27877
"d5aa078b55bb093805732b72ff8446bf","v5_pilot2","blur",73,647456,NA,"2024-12-20 16:40:40",27973
"d5aa078b55bb093805732b72ff8446bf","v5_pilot2","focus",73,649153,NA,"2024-12-20 16:40:42",27974
"d5aa078b55bb093805732b72ff8446bf","v5_pilot2","blur",73,658074,NA,"2024-12-20 16:40:51",27979
"d5aa078b55bb093805732b72ff8446bf","v5_pilot2","focus",73,669307,NA,"2024-12-20 16:41:02",27982
"d5aa078b55bb093805732b72ff8446bf","v5_pilot2","blur",74,674057,NA,"2024-12-20 16:41:07",27983
"d5aa078b55bb093805732b72ff8446bf","v5_pilot2","focus",74,695736,NA,"2024-12-20 16:41:28",27991
"d5aa078b55bb093805732b72ff8446bf","v5_pilot2","blur",74,696654,NA,"2024-12-20 16:41:29",27992
"70034b5e9a61b5a866d2b94b15d19448","pilot3b","blur",52,136877,NA,"2025-04-08 18:10:05",40170
"70034b5e9a61b5a866d2b94b15d19448","pilot3b","focus",52,141343,NA,"2025-04-08 18:10:09",40173
"70034b5e9a61b5a866d2b94b15d19448","pilot3b","blur",52,142621,NA,"2025-04-08 18:10:11",40174
"70034b5e9a61b5a866d2b94b15d19448","pilot3b","focus",52,146151,NA,"2025-04-08 18:10:14",40175
"d5e36bc6e53e6241e8746a675914d123","pilot3b","blur",52,100015,NA,"2025-04-08 17:18:46",39374
"d5e36bc6e53e6241e8746a675914d123","pilot3b","focus",52,100742,NA,"2025-04-08 17:18:47",39375
"d5e36bc6e53e6241e8746a675914d123","pilot3b","blur",52,104192,NA,"2025-04-08 17:18:51",39376
"d7f3262bff38c6dd1c940871826d2350","pilot3b","blur",2,11663,NA,"2025-04-08 18:17:51",40245
"d7f3262bff38c6dd1c940871826d2350","pilot3b","focus",2,14002,NA,"2025-04-08 18:17:53",40246
"d7f3262bff38c6dd1c940871826d2350","pilot3b","blur",7,31803,NA,"2025-04-08 18:18:11",40258
