subject,subject_prolific,version,factor,task_name,condition,stimulus,choice,auxiliary_info1,openq_response,introspect_rating,introspect_open,familiarity,rt,timestamp,id
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,hindsight effect,no knowledge of outcome,comprehension,false,Gurka victory,,,,,48620,2024-12-19 19:12:34,95688
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,hindsight effect,no knowledge of outcome,comprehension,true,The case did not indicate the outcome,,,,,1753,2024-12-19 19:12:36,95689
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,hindsight effect,no knowledge of outcome,,40,"40,60,50,50",,,,,15595,2024-12-19 19:12:51,95690
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,primacy order,Factor-Excluded,,car1,,,,,,3462,2024-12-19 19:15:00,95691
6644f37947ff3c7c3f9bbca1,,v5_pilot2,,attention check 2,,,The moon is made of green cheese,Success,,,,,16078,2024-12-19 19:15:17,95692
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,sunk_cost2 effect,No Sunk Cost,,Don't Continue Investing,,,,,,11911,2024-12-19 19:15:31,95693
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,affect heuristic,without passage,,1,0,,,,,4703,2024-12-19 19:15:44,95694
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,status_quo,Factor-Excluded,comprehension,passed,"Safety of interstate highway and automobile safety, Bumpers, seat-belts, gas configuration, & body, Guard rails, grading, interchanges, selective reduced speed limits, null",,,,,47376,2024-12-19 19:16:35,95695
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,status_quo,Factor-Excluded,,not status quo,Allocate 30% to auto safety and 70% to highway safety status quo: 50/50,,,,,10134,2024-12-19 19:16:46,95696
6644f37947ff3c7c3f9bbca1,,v5_pilot2,,attention check 3,,,"3,5,1,4,2",Correct,,,,,30622,2024-12-19 19:17:16,95697
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,simulation,missed,,100,,,,,,9327,2024-12-19 19:17:30,95698
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,illusion of truth pt2,true_new,Dart boards are commonly made of sisal,41,not false positive,,,,,,2024-12-19 19:17:51,95699
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,illusion of truth pt2,true_new,Moose may dive underwater while feeding,41,not false positive,,,,,,2024-12-19 19:17:56,95700
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,illusion of truth pt2,true_new,The Colchester is a popular type of oyster,39,not false positive,,,,,,2024-12-19 19:18:00,95701
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,illusion of truth pt2,false_new,The Carpathian Mountains form a high wall between France and Spain,31,false positive,,,,,,2024-12-19 19:18:05,95702
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,illusion of truth pt2,true_new,The otter belongs to the squirrel family,10,not false positive,,,,,,2024-12-19 19:18:08,95703
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,illusion of truth pt2,false_new,The monetary unit in Afghanistan is the rupee,39,false positive,,,,,,2024-12-19 19:18:11,95704
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,illusion of truth pt2,true_new,Cabbages are in the mustard family,52,not false positive,,,,,,2024-12-19 19:18:15,95705
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,illusion of truth pt2,false_new,Giraffes have terrible eyesight,54,not false positive,,,,,,2024-12-19 19:18:18,95706
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,illusion of truth pt2,true_new,Snakes lack moveable eyelids,55,not false positive,,,,,,2024-12-19 19:18:20,95707
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,illusion of truth pt2,false_new,"In chemistry, a mass spectrometer is used to separate substances into its constituent parts according to color",74,not false positive,,,,,,2024-12-19 19:18:25,95708
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,illusion of truth pt2,false_new,Spain produces most of the worldâ€™s almonds,66,not false positive,,,,,,2024-12-19 19:18:29,95709
6644f37947ff3c7c3f9bbca1,,v5_pilot2,Factor-Excluded,illusion of truth pt2,false_new,The highest waterfall in the world is in Argentina,55,not false positive,,,,,,2024-12-19 19:18:33,95710
6362852176f08a3984fa6ef1,,v5_pilot2,Factor-Included,status_quo,Factor-Included,comprehension,passed,"Safety of interstate highway and automobile safety, Bumpers, seat-belts, gas configuration, & body, Guard rails, grading, interchanges, selective reduced speed limits, 50% for auto safety and 50% for highway safety",,,,,92502,2024-12-19 19:19:56,95711
6362852176f08a3984fa6ef1,,v5_pilot2,Factor-Included,status_quo,Factor-Included,,status quo,Maintain present budget amounts for the programs status quo: 50/50,,,,,21130,2024-12-19 19:20:17,95712
6362852176f08a3984fa6ef1,,v5_pilot2,Factor-Included,affect heuristic,With passage,,1,1,,,,,12376,2024-12-19 19:21:22,95713
675f50ab88662e8002f0ee08,,v5_pilot2,Factor-Excluded,simulation,missed,,61,,,,,,30695,2024-12-19 19:22:00,95714
66cf6c471a4e4397dac16e71,,v5_pilot2,Factor-Excluded,sunk_cost2 effect,No Sunk Cost,,Continue Investing,,,,,,22549,2024-12-19 19:22:13,95715
6362852176f08a3984fa6ef1,,v5_pilot2,,attention check 2,,,The moon is made of green cheese,Success,,,,,54516,2024-12-19 19:22:18,95716
66ee1b8ee4da3710c1695515,,v5_pilot2,Factor-Included,affect heuristic,With passage,,0.46,0.77,,,,,26338,2024-12-19 19:22:48,95717
5c1827dbebe9950001752e40,,v5_pilot2,Factor-Included,status_quo,Factor-Included,comprehension,passed,"Safety of interstate highway and automobile safety, Bumpers, seat-belts, gas configuration, & body, Guard rails, grading, interchanges, selective reduced speed limits, 50% for auto safety and 50% for highway safety",,,,,30898,2024-12-19 19:23:12,95718
5beb8419aec9ef0001e9d5fb,,v5_pilot2,Factor-Excluded,primacy order,Factor-Excluded,,car3,,,,,,5824,2024-12-19 19:23:22,95719
5c1827dbebe9950001752e40,,v5_pilot2,Factor-Included,status_quo,Factor-Included,,status quo,Maintain present budget amounts for the programs status quo: 50/50,,,,,14342,2024-12-19 19:23:26,95720
5fb757520b48c928a9b6e00b,,v5_pilot2,Factor-Excluded,primacy order,Factor-Excluded,,car1,,,,,,3907,2024-12-19 19:23:32,95721
6362852176f08a3984fa6ef1,,v5_pilot2,Factor-Included,primacy order,Factor-Included,,car1,,,,,,6649,2024-12-19 19:23:36,95722
5c1827dbebe9950001752e40,,v5_pilot2,Factor-Included,simulation,barely missed,,95,,,,,,9441,2024-12-19 19:23:37,95723
5c1827dbebe9950001752e40,,v5_pilot2,,attention check 2,,,The moon is made of green cheese,Success,,,,,13585,2024-12-19 19:23:52,95724
6362852176f08a3984fa6ef1,,v5_pilot2,Factor-Included,hindsight effect,knowledge of outcome,comprehension,true,British victory,,,,,12322,2024-12-19 19:23:53,95725
5beb8419aec9ef0001e9d5fb,,v5_pilot2,Factor-Excluded,hindsight effect,no knowledge of outcome,comprehension,true,The case did not indicate the outcome,,,,,27514,2024-12-19 19:23:53,95726
66bf96a398b165333e46f5e1,,v5_pilot2,Factor-Included,primacy order,Factor-Included,,car2,,,,,,5053,2024-12-19 19:24:12,95727
5beb8419aec9ef0001e9d5fb,,v5_pilot2,Factor-Excluded,hindsight effect,no knowledge of outcome,,70,"70,20,5,5",,,,,22168,2024-12-19 19:24:15,95728
675f50ab88662e8002f0ee08,,v5_pilot2,Factor-Excluded,primacy order,Factor-Excluded,,car1,,,,,,7547,2024-12-19 19:24:22,95729
5beb8419aec9ef0001e9d5fb,,v5_pilot2,,attention check 2,,,The moon is made of green cheese,Success,,,,,12091,2024-12-19 19:24:31,95730
66ee1b8ee4da3710c1695515,,v5_pilot2,Factor-Included,hindsight effect,knowledge of outcome,comprehension,true,British victory,,,,,94337,2024-12-19 19:24:41,95731
6362852176f08a3984fa6ef1,,v5_pilot2,Factor-Included,hindsight effect,knowledge of outcome,,25,"25,25,25,25",,,,,49055,2024-12-19 19:24:42,95732
5beb8419aec9ef0001e9d5fb,,v5_pilot2,Factor-Excluded,affect heuristic,without passage,,0.5,0.5,,,,,10127,2024-12-19 19:24:49,95733
5fb757520b48c928a9b6e00b,,v5_pilot2,Factor-Excluded,status_quo,Factor-Excluded,comprehension,passed,"Safety of interstate highway and automobile safety, Bumpers, seat-belts, gas configuration, & body, Guard rails, grading, interchanges, selective reduced speed limits, null",,,,,70799,2024-12-19 19:24:51,95734
6362852176f08a3984fa6ef1,,v5_pilot2,Factor-Included,simulation,barely missed,,100,,,,,,17758,2024-12-19 19:25:03,95735
675f50ab88662e8002f0ee08,,v5_pilot2,,attention check 2,,,The moon is made of green cheese,Success,,,,,40438,2024-12-19 19:25:04,95736
5c1827dbebe9950001752e40,,v5_pilot2,Factor-Included,primacy order,Factor-Included,,car3,,,,,,7439,2024-12-19 19:25:11,95737
5fb757520b48c928a9b6e00b,,v5_pilot2,Factor-Excluded,status_quo,Factor-Excluded,,not status quo,Allocate 30% to auto safety and 70% to highway safety status quo: 50/50,,,,,28663,2024-12-19 19:25:19,95738
67276ea4e89404cc3ccdc824,,v5_pilot2,Factor-Excluded,sunk_cost2 effect,No Sunk Cost,,Don't Continue Investing,,,,,,34429,2024-12-19 19:25:22,95739
66cf6c471a4e4397dac16e71,,v5_pilot2,Factor-Excluded,primacy order,Factor-Excluded,,car1,,,,,,3241,2024-12-19 19:25:25,95740
5fb757520b48c928a9b6e00b,,v5_pilot2,,attention check 2,,,The moon is made of green cheese,Success,,,,,19613,2024-12-19 19:25:41,95741
6763f037f664e455a22d3f42,,v5_pilot2,Factor-Excluded,simulation,missed,,84,,,,,,50516,2024-12-19 19:25:43,95742
66bf96a398b165333e46f5e1,,v5_pilot2,Factor-Included,affect heuristic,With passage,,0.57,0.77,,,,,13648,2024-12-19 19:25:46,95743
675f50ab88662e8002f0ee08,,v5_pilot2,Factor-Excluded,affect heuristic,without passage,,0.83,0.41,,,,,22127,2024-12-19 19:25:47,95744
66cf6c471a4e4397dac16e71,,v5_pilot2,,attention check 2,,,The moon is made of green cheese,Success,,,,,20605,2024-12-19 19:25:47,95745
5c1827dbebe9950001752e40,,v5_pilot2,Factor-Included,hindsight effect,knowledge of outcome,comprehension,false,The case did not indicate the outcome,,,,,34851,2024-12-19 19:25:50,95746
6760b3ba799791bde55247b4,,v5_pilot2,Factor-Excluded,sunk_cost2 effect,No Sunk Cost,,Don't Continue Investing,,,,,,76235,2024-12-19 19:25:51,95747
5c1827dbebe9950001752e40,,v5_pilot2,Factor-Included,hindsight effect,knowledge of outcome,comprehension,true,British victory,,,,,3142,2024-12-19 19:25:53,95748
