subject,subject_prolific,version,factor,task_name,condition,stimulus,choice,auxiliary_info1,openq_response,introspect_rating,introspect_open,familiarity,rt,timestamp,id
66c38291d4640f623d8a8d95,,v5_pilot1,Factor-Excluded,sunk_cost effect,No Sunk Cost,,Rocket Engine,,READING THE SCENARIO,8,75,No,1776,2024-11-08 18:31:00,78670
66c38291d4640f623d8a8d95,,v5_pilot1,Factor-Excluded,recognition: city,Array,,0,did not choose recognizable,,,,,1612,2024-11-08 18:31:04,78671
66c38291d4640f623d8a8d95,,v5_pilot1,Factor-Excluded,recognition: city,Array,,1,did not choose recognizable,,,,,974,2024-11-08 18:31:05,78672
66c38291d4640f623d8a8d95,,v5_pilot1,Factor-Excluded,recognition: city,Array,,0,did not choose recognizable,,,,,1023,2024-11-08 18:31:06,78673
66c38291d4640f623d8a8d95,,v5_pilot1,Factor-Excluded,recognition: city,Array,,1,did not choose recognizable,,,,,2642,2024-11-08 18:31:08,78674
66c38291d4640f623d8a8d95,,v5_pilot1,Factor-Excluded,recognition,Factor-Excluded,,0,,Analysising ,79,78,Yes,5035,2024-11-08 18:31:39,78675
657f2c310745eab2771264d8,,v5_pilot1,Factor-Included,imaginability,Easy to Imagine,,-79,,Diseases that are transmitted easily usually have symptoms that have to do with some systems in the body like the respiratory system.,50,98,No,65685,2024-11-08 18:32:34,78676
663ba98aaef0a810990579ad,,v5_pilot1,Factor-Included,omission principle,commission,,5,,understanding ,82,91,No,4988,2024-11-08 18:32:53,78677
663ba98aaef0a810990579ad,,v5_pilot1,Factor-Included,sunk_cost effect,Sunk Cost,,Solar-powered Pump,,nice and good idea,72,74,No,2074,2024-11-08 18:33:19,78678
66830b9a809daeabd4534d4f,,v5_pilot1,Factor-Included,recognition: city,Array,,1,did not choose recognizable,,,,,11357,2024-11-08 18:33:20,78679
66830b9a809daeabd4534d4f,,v5_pilot1,Factor-Included,recognition: city,Array,,0,chose recognizable,,,,,7765,2024-11-08 18:33:28,78680
