subject,subject_prolific,version,factor,task_name,condition,stimulus,choice,auxiliary_info1,openq_response,introspect_rating,introspect_open,familiarity,rt,timestamp,id
65011da64f1176431cead27c,,v5_pilot1,Factor-Included,double effect,Means,,Impermissible,,It is not right to take someone else's life. ,50,50,No,4048,2024-06-21 13:39:19,72029
631a5e886ab21d522f83e58e,,v5_pilot1,Factor-Included,double effect,Means,,Impermissible,,I think this decision is too rash. The second person could assist the fireman with the escape.,50,50,No,3119,2024-06-21 13:41:52,72068
6273238a4a8b39041ff1bd2c,,v5_pilot1,Factor-Excluded,double effect,Side Effect,,Permissible,,hard decision,43,61,No,7020,2024-06-21 13:42:32,72075
5e0faccc24f9396bc33814c8,,v5_pilot1,Factor-Excluded,double effect,Side Effect,,Permissible,,The 1 person could save 5 others,50,51,No,4695,2024-06-21 13:48:48,72181
6504cf65271c90f40dabc999,,v5_pilot1,Factor-Excluded,double effect,Side Effect,,Permissible,,Once again both outcomes are negative and the action or inactions in both scenarios are similar enough that I would rule both choices to be morally permissible. We never know what we will do until we are in that situation so we shouldn't judge what others do. Especially without all details.,51,1,No,3418,2024-06-21 13:52:40,72268
664b49be29e4f690e547ab82,,v5_pilot1,Factor-Included,double effect,Means,,Impermissible,,"I don't think pushing someone against their own will to their death is right. Unless he started the fire, doing that to save anyone else isn't right. If the fireman can't communicate the situation to the man, then he should use his own body ",76,95,No,27198,2024-06-21 14:01:40,72458
60397a0dbabbb54cf4570417,,v5_pilot1,Factor-Excluded,double effect,Side Effect,,Permissible,,I would place my self in the same situation and decide what I would do if that was me in that situation. ,99,91,No,6014,2024-06-21 14:08:40,72627
66304be4df26f954ad764f52,,v5_pilot1,Factor-Included,double effect,Means,,Impermissible,,"Murder is wrong, and by pushing the man out the window he is committing murder. Just because there are children doesnâ€™t make their lives anymore valuable than anyone elseâ€™s ",0,72,No,8386,2024-06-21 14:10:12,72652
62d06d1b651d6922f62fab9b,,v5_pilot1,Factor-Included,double effect,Means,,Permissible,,I feel like even though pushing the man is still wrong the 5 children should live ,25,21,No,3233,2024-06-21 14:13:18,72766
5848ad3bdb871400012da095,,v5_pilot1,Factor-Included,double effect,Means,,Permissible,,I think the kids will live longer so they should get out.,57,43,No,3074,2024-06-21 14:18:02,72866
