subject,version,browser_event,trial,time,timepoint,stamp,id
6504cf65271c90f40dabc999,v5_pilot1,blur,72,336174,,2024-06-21 13:20:16,17428
6504cf65271c90f40dabc999,v5_pilot1,focus,72,336823,,2024-06-21 13:20:16,17429
6504cf65271c90f40dabc999,v5_pilot1,blur,72,338006,,2024-06-21 13:20:17,17430
6504cf65271c90f40dabc999,v5_pilot1,focus,72,339226,,2024-06-21 13:20:19,17431
6504cf65271c90f40dabc999,v5_pilot1,blur,72,346955,,2024-06-21 13:20:26,17432
6504cf65271c90f40dabc999,v5_pilot1,focus,72,346959,,2024-06-21 13:20:26,17433
6504cf65271c90f40dabc999,v5_pilot1,blur,72,346985,,2024-06-21 13:20:27,17434
6504cf65271c90f40dabc999,v5_pilot1,focus,72,350258,,2024-06-21 13:20:30,17435
6504cf65271c90f40dabc999,v5_pilot1,blur,72,363615,,2024-06-21 13:20:43,17436
6504cf65271c90f40dabc999,v5_pilot1,focus,72,373626,,2024-06-21 13:20:53,17437
6504cf65271c90f40dabc999,v5_pilot1,blur,75,408876,,2024-06-21 13:21:28,17438
6504cf65271c90f40dabc999,v5_pilot1,focus,75,417502,,2024-06-21 13:21:37,17439
65011da64f1176431cead27c,v5_pilot1,focus,1,1153,,2024-06-21 13:24:13,17440
65011da64f1176431cead27c,v5_pilot1,blur,1,2949,,2024-06-21 13:24:14,17441
65011da64f1176431cead27c,v5_pilot1,focus,1,4933,,2024-06-21 13:24:16,17442
62d06d1b651d6922f62fab9b,v5_pilot1,blur,3,56168,,2024-06-21 13:26:33,17443
62d06d1b651d6922f62fab9b,v5_pilot1,focus,3,83051,,2024-06-21 13:26:57,17444
62d06d1b651d6922f62fab9b,v5_pilot1,blur,4,182689,,2024-06-21 13:28:37,17445
62d06d1b651d6922f62fab9b,v5_pilot1,focus,4,234645,,2024-06-21 13:29:29,17446
65011da64f1176431cead27c,v5_pilot1,blur,69,584779,,2024-06-21 13:33:57,17447
65011da64f1176431cead27c,v5_pilot1,focus,69,585535,,2024-06-21 13:33:57,17448
65011da64f1176431cead27c,v5_pilot1,blur,70,587709,,2024-06-21 13:33:59,17449
65011da64f1176431cead27c,v5_pilot1,focus,72,631675,,2024-06-21 13:34:43,17450
62d06d1b651d6922f62fab9b,v5_pilot1,blur,11,586247,,2024-06-21 13:35:21,17451
62d06d1b651d6922f62fab9b,v5_pilot1,focus,11,616286,,2024-06-21 13:35:51,17452
631a5e886ab21d522f83e58e,v5_pilot1,blur,36,365069,,2024-06-21 13:38:56,17453
631a5e886ab21d522f83e58e,v5_pilot1,focus,36,369196,,2024-06-21 13:39:00,17454
631a5e886ab21d522f83e58e,v5_pilot1,blur,55,638196,,2024-06-21 13:43:29,17455
631a5e886ab21d522f83e58e,v5_pilot1,focus,55,646969,,2024-06-21 13:43:37,17456
631a5e886ab21d522f83e58e,v5_pilot1,blur,56,660660,,2024-06-21 13:43:51,17457
631a5e886ab21d522f83e58e,v5_pilot1,focus,56,667519,,2024-06-21 13:43:58,17458
631a5e886ab21d522f83e58e,v5_pilot1,blur,63,728700,,2024-06-21 13:44:59,17459
631a5e886ab21d522f83e58e,v5_pilot1,focus,63,744490,,2024-06-21 13:45:15,17460
66749b876f32a4ad246db5da,v5_pilot1,blur,3,74833,,2024-06-21 13:46:20,17461
66749b876f32a4ad246db5da,v5_pilot1,focus,3,108346,,2024-06-21 13:46:54,17462
6273238a4a8b39041ff1bd2c,v5_pilot1,blur,128,824969,,2024-06-21 13:48:31,17463
66749b876f32a4ad246db5da,v5_pilot1,blur,4,266621,,2024-06-21 13:49:32,17464
66749b876f32a4ad246db5da,v5_pilot1,focus,4,282845,,2024-06-21 13:49:48,17465
66749b876f32a4ad246db5da,v5_pilot1,blur,4,286323,,2024-06-21 13:49:52,17466
66749b876f32a4ad246db5da,v5_pilot1,focus,4,291124,,2024-06-21 13:49:56,17467
66749b876f32a4ad246db5da,v5_pilot1,blur,4,291143,,2024-06-21 13:49:56,17468
6273238a4a8b39041ff1bd2c,v5_pilot1,focus,128,910911,,2024-06-21 13:49:57,17469
66749b876f32a4ad246db5da,v5_pilot1,focus,4,295029,,2024-06-21 13:50:00,17470
66749b876f32a4ad246db5da,v5_pilot1,blur,4,297492,,2024-06-21 13:50:03,17471
66749b876f32a4ad246db5da,v5_pilot1,focus,4,302876,,2024-06-21 13:50:08,17472
66749b876f32a4ad246db5da,v5_pilot1,blur,4,306173,,2024-06-21 13:50:11,17473
66749b876f32a4ad246db5da,v5_pilot1,focus,4,308859,,2024-06-21 13:50:14,17474
66749b876f32a4ad246db5da,v5_pilot1,blur,4,312188,,2024-06-21 13:50:17,17475
66749b876f32a4ad246db5da,v5_pilot1,focus,4,317028,,2024-06-21 13:50:23,17476
66749b876f32a4ad246db5da,v5_pilot1,blur,4,320156,,2024-06-21 13:50:26,17477
66749b876f32a4ad246db5da,v5_pilot1,focus,4,323548,,2024-06-21 13:50:29,17478
66749b876f32a4ad246db5da,v5_pilot1,blur,4,325852,,2024-06-21 13:50:31,17479
66749b876f32a4ad246db5da,v5_pilot1,focus,4,328828,,2024-06-21 13:50:34,17480
65011da64f1176431cead27c,v5_pilot1,blur,414,1652968,,2024-06-21 13:51:44,17481
65011da64f1176431cead27c,v5_pilot1,focus,424,1665205,,2024-06-21 13:51:57,17482
66749b876f32a4ad246db5da,v5_pilot1,blur,7,450366,,2024-06-21 13:52:37,17483
66749b876f32a4ad246db5da,v5_pilot1,focus,7,462499,,2024-06-21 13:52:48,17484
66749b876f32a4ad246db5da,v5_pilot1,blur,7,468743,,2024-06-21 13:52:54,17485
66749b876f32a4ad246db5da,v5_pilot1,focus,7,474147,,2024-06-21 13:52:59,17486
631a5e886ab21d522f83e58e,v5_pilot1,blur,121,1215458,,2024-06-21 13:53:06,17487
65011da64f1176431cead27c,v5_pilot1,blur,460,1736592,,2024-06-21 13:53:08,17488
65011da64f1176431cead27c,v5_pilot1,focus,460,1737605,,2024-06-21 13:53:09,17489
631a5e886ab21d522f83e58e,v5_pilot1,focus,121,1222378,,2024-06-21 13:53:13,17490
